venue,count
Eden Gardens,77
Wankhede Stadium,73
M Chinnaswamy Stadium,73
Feroz Shah Kotla,67
"Rajiv Gandhi International Stadium, Uppal",56
"MA Chidambaram Stadium, Chepauk",49
Sawai Mansingh Stadium,47
"Punjab Cricket Association Stadium, Mohali",35
Maharashtra Cricket Association Stadium,21
Dr DY Patil Sports Academy,17
Subrata Roy Sahara Stadium,17
Kingsmead,15
"Punjab Cricket Association IS Bindra Stadium, Mohali",14
"Sardar Patel Stadium, Motera",12
SuperSport Park,12
Brabourne Stadium,11
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,11
Saurashtra Cricket Association Stadium,10
Himachal Pradesh Cricket Association Stadium,9
Holkar Cricket Stadium,9
Rajiv Gandhi Intl. Cricket Stadium,8
New Wanderers Stadium,8
M. A. Chidambaram Stadium,8
IS Bindra Stadium,7
Feroz Shah Kotla Ground,7
Dubai International Cricket Stadium,7
M. Chinnaswamy Stadium,7
JSCA International Stadium Complex,7
Sheikh Zayed Stadium,7
Newlands,7
Barabati Stadium,7
St George's Park,7
Sharjah Cricket Stadium,6
Shaheed Veer Narayan Singh International Stadium,6
Nehru Stadium,5
Green Park,4
"Vidarbha Cricket Association Stadium, Jamtha",3
De Beers Diamond Oval,3
Buffalo Park,3
OUTsurance Oval,2
ACA-VDCA Stadium,2
