team1,home1,no,abbr
Pune Warriors,"Pune,Mumbai,Nagpur",9,pw
Kolkata Knight Riders,"Kolkata,Ranchi",7,kkr
Rajasthan Royals,Jaipur,10,rr
Kochi Tuskers Kerala,Kochi,6,kt
Gujarat Lions,"Ahmedabad,Ranchi,Kanpur",4,gl
Chennai Super Kings,Chennai,0,csk
Rising Pune Supergiants,"Pune,Mumbai,Nagpur",11,rps
Delhi Daredevils,"Delhi,Raipur",3,dd
Deccan Chargers,Hyderabad,1,dc
Delhi Capitals,Delhi,2,dca
Mumbai Indians,"Pune,Mumbai,Nagpur",8,mi
Sunrisers Hyderabad,Hyderabad,13,srh
Royal Challengers Bangalore,"Bangalore,Bengaluru,Visakhapatnam",12,rcb
Kings XI Punjab,"Mohali,Indore,Chandigarh,Dharamsala,Cuttack",5,kxip
